event_name,date,genre,venue,city,days_until_event
The Museum at Bethel Woods: The Story of 60's & Woodstock,2025-11-09,Arts & Theatre,The Museum at Bethel Woods,Bethel,0
Banksy Museum - Flexiticket,2025-11-09,Arts & Theatre,Banksy Museum New York,New York,0
Centennial Fan Fest (10am-6pm),2025-11-09,Unknown,MotorCity ,Detroit,0
2025 Steelers Holiday Photos,2025-11-09,Unknown,Acrisure Stadium,Pittsburgh,0
Lit'l Bita Christmas-Sunday Event Only,2025-11-09,Unknown,First National Bank Arena,Jonesboro,0
2025 Aqueduct Experiences,2025-11-09,Unknown,Aqueduct Racetrack,South Ozone Park,0
VIP DUUUVAL WATCH PARTY,2025-11-09,Unknown,EverBank Stadium,Jacksonville,0
DUUUVAL Watch Party,2025-11-09,Unknown,EverBank Stadium,Jacksonville,0
2025 Aqueduct Horsemens Lounge,2025-11-09,Unknown,Aqueduct Racetrack,South Ozone Park,0
Military Appreciation Gate Passes,2025-11-09,Unknown,Churchill Downs General Admin,Louisville,0
Ally ACC Women's Soccer Finals,2025-11-09,Unknown,WakeMed Soccer Park,Cary,0
Pre-Game Fan Tunnel New England Patriots,2025-11-09,Unknown,Raymond James Stadium,Tampa,0
Simulcast,2025-11-09,Unknown,Churchill Downs General Admin,Louisville,0
Pre-Game Player Tunnel New England Patriots,2025-11-09,Unknown,Raymond James Stadium,Tampa,0
"Sunday, November 9, 2025 - SoFi Stadium Tours",2025-11-09,Unknown,SoFi Stadium Tours,Inglewood,0
Mini Mafia Watch Party,2025-11-09,Unknown,Highmark Stadium,Orchard Park,0
"Jurassic Quest | North Charleston, SC 2025",2025-11-09,Miscellaneous,Charleston Area Convention Center,North Charleston,0
Minnesota Vikings Museum Tickets November 9,2025-11-09,Unknown,Vikings Museum,Eagan,0
Baltimore Ravens,2025-11-09,Unknown,Not a Game Ticket,Unknown,0
Baltimore Ravens,2025-11-09,Unknown,U.S. Bank Stadium,Minneapolis,0
Postgame Field New England Patriots,2025-11-09,Unknown,Raymond James Stadium,Tampa,0
MUVB Kids Club vs Seton Hall,2025-11-09,Unknown,Al McGuire Center,Milwaukee,0
Panthers Player Intro Pass - 11.09.25,2025-11-09,Unknown,Bank of America Stad - GEN ADM,Unknown,0
GEICO HRS Express  - MIA vs BUF,2025-11-09,Unknown,Hard Rock Stadium,Miami,0
