city,area,price,availability_365,date,event_count,avg_influence,total_influence
Manhattan,Midtown,240.0,289,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,96.0,285,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,59.0,83,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,73.0,186,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,216.0,0,2025-11-10,1.0,0.49,0.49
Brooklyn,Bedford-Stuyvesant,170.0,275,2025-11-10,5.0,0.57,2.8499999999999996
Manhattan,Hell's Kitchen,175.0,71,2025-11-10,5.0,0.81,4.050000000000001
Brooklyn,Bedford-Stuyvesant,90.0,244,2025-11-10,0.0,0.0,0.0
Queens,Long Island City,232.0,203,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,151.0,286,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,115.0,300,2025-11-10,4.0,0.77,3.08
Brooklyn,Clinton Hill,57.0,335,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,227.0,226,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,202.0,28,2025-11-10,0.0,0.0,0.0
Manhattan,Upper East Side,576.0,365,2025-11-10,4.0,0.81,3.24
Manhattan,Chelsea,151.0,353,2025-11-10,2.0,0.46,0.92
Manhattan,West Village,200.0,290,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,95.0,306,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,112.0,286,2025-11-10,0.0,0.0,0.0
Manhattan,Chelsea,85.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,200.0,358,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,201.0,360,2025-11-10,5.0,0.66,3.3000000000000003
Brooklyn,South Slope,90.0,93,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,90.0,282,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,149.0,299,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,170.0,335,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,122.0,253,2025-11-10,5.0,0.47,2.3499999999999996
Brooklyn,Boerum Hill,765.0,364,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,147.0,25,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,563.0,185,2025-11-10,5.0,0.37,1.85
Brooklyn,Carroll Gardens,254.0,364,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,110.0,365,2025-11-10,1.0,0.71,0.71
Queens,Ridgewood,428.0,365,2025-11-10,5.0,0.39,1.9500000000000002
Bronx,Mott Haven,60.0,263,2025-11-10,0.0,0.0,0.0
Manhattan,Morningside Heights,99.0,167,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,86.0,288,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,95.0,134,2025-11-10,0.0,0.0,0.0
Queens,Ditmars Steinway,170.0,78,2025-11-10,1.0,0.7,0.7
Queens,Middle Village,117.0,365,2025-11-10,0.0,0.0,0.0
Queens,Ridgewood,224.0,365,2025-11-10,0.0,0.0,0.0
Queens,Middle Village,299.0,365,2025-11-10,2.0,0.69,1.38
Manhattan,Harlem,172.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,107.0,232,2025-11-10,3.0,0.79,2.37
Manhattan,East Harlem,125.0,359,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,145.0,54,2025-11-10,0.0,0.0,0.0
Queens,Ditmars Steinway,105.0,264,2025-11-10,0.0,0.0,0.0
Brooklyn,Brooklyn Heights,292.0,180,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,116.0,307,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,44.0,309,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,150.0,59,2025-11-10,5.0,0.38,1.9
Queens,Ridgewood,223.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,125.0,159,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,60.0,53,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,150.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,75.0,360,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,285.0,31,2025-11-10,0.0,0.0,0.0
Bronx,Eastchester,125.0,359,2025-11-10,4.0,0.77,3.08
Brooklyn,Crown Heights,72.0,215,2025-11-10,4.0,0.9,3.6
Brooklyn,Crown Heights,57.0,274,2025-11-10,5.0,0.81,4.050000000000001
Brooklyn,Williamsburg,108.0,90,2025-11-10,0.0,0.0,0.0
Brooklyn,Carroll Gardens,225.0,306,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,349.0,145,2025-11-10,0.0,0.0,0.0
Brooklyn,Gowanus,209.0,267,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,180.0,48,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,190.0,292,2025-11-10,0.0,0.0,0.0
Manhattan,Nolita,658.0,174,2025-11-10,0.0,0.0,0.0
Queens,Astoria,119.0,365,2025-11-10,1.0,0.75,0.75
Manhattan,Chinatown,154.0,296,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,222.0,364,2025-11-10,4.0,0.7,2.8
Brooklyn,Greenpoint,513.0,57,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,4.0,0.55,2.2
Brooklyn,Bedford-Stuyvesant,165.0,288,2025-11-10,2.0,0.74,1.48
Brooklyn,Bushwick,73.0,335,2025-11-10,0.0,0.0,0.0
Brooklyn,Downtown Brooklyn,166.0,334,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,381.0,58,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,800.0,358,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,165.0,290,2025-11-10,2.0,0.73,1.46
Brooklyn,Crown Heights,163.0,78,2025-11-10,0.0,0.0,0.0
Manhattan,Chelsea,150.0,275,2025-11-10,2.0,0.68,1.36
Manhattan,Washington Heights,62.0,173,2025-11-10,0.0,0.0,0.0
Brooklyn,Gowanus,150.0,74,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,590.0,0,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,260.0,274,2025-11-10,4.0,0.78,3.12
Queens,Rockaway Beach,114.0,88,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,77.0,259,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,181.0,95,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,221.0,103,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,175.0,105,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,95.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,60.0,297,2025-11-10,4.0,0.57,2.28
Manhattan,Harlem,58.0,303,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,85.0,219,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,90.0,286,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,99.0,335,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,189.0,184,2025-11-10,0.0,0.0,0.0
